Mod:Item:MetaData, Localized Name
minecraft:stone, 石头
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:flowing_water, 水
minecraft:water, 水
minecraft:flowing_lava, 岩浆
minecraft:lava, 岩浆
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge, 海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 沙石
minecraft:sandstone:1, 錾制沙石
minecraft:sandstone:2, 平滑沙石
minecraft:noteblock, 音符盒
minecraft:golden_rail, 动力铁轨
minecraft:detector_rail, 探测铁轨
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
minecraft:wool:0, 羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罂粟
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 沙石台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:fire, 火
minecraft:mob_spawner:0, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 箱子
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:lit_furnace, 熔炉
minecraft:ladder, 梯子
minecraft:rail, 铁轨
minecraft:stone_stairs, 石楼梯
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 压力板
minecraft:wooden_pressure_plate, 压力板
minecraft:redstone_ore, 红石矿石
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer:0, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
minecraft:jukebox, 唱片机
minecraft:fence, 栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 萤石
minecraft:portal, 传送门
minecraft:lit_pumpkin, 南瓜灯
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖块
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal, 未命名方块,请报告给作者.
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:cocoa, 可可果
minecraft:sandstone_stairs, 沙石楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
minecraft:carrots, 胡萝卜
minecraft:potatoes, 马铃薯
minecraft:wooden_button, 按钮
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate, 测重压力板 (重质)
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活铁轨
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色染色粘土
minecraft:stained_hardened_clay:1, 橙色染色粘土
minecraft:stained_hardened_clay:2, 品红色染色粘土
minecraft:stained_hardened_clay:3, 淡蓝色染色粘土
minecraft:stained_hardened_clay:4, 黄色染色粘土
minecraft:stained_hardened_clay:5, 黄绿色染色粘土
minecraft:stained_hardened_clay:6, 粉色染色粘土
minecraft:stained_hardened_clay:7, 灰色染色粘土
minecraft:stained_hardened_clay:8, 淡灰色染色粘土
minecraft:stained_hardened_clay:9, 青色染色粘土
minecraft:stained_hardened_clay:10, 紫色染色粘土
minecraft:stained_hardened_clay:11, 蓝色染色粘土
minecraft:stained_hardened_clay:12, 棕色染色粘土
minecraft:stained_hardened_clay:13, 绿色染色粘土
minecraft:stained_hardened_clay:14, 红色染色粘土
minecraft:stained_hardened_clay:15, 黑色染色粘土
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
AgriCraft:crops, 作物架
AgriCraft:seedAnalyzer, 种子分析仪
AgriCraft:waterPad, 水垫
AgriCraft:waterPadFull, 水垫
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
AgriCraft:waterTank:0, 木质水箱
minecraft:hay_block, 干草块
minecraft:carpet:0, 地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 硬化粘土
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannel:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:waterChannelFull:0, 木质浇灌水道
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:channelValve:0, 木质水道阀门
AgriCraft:sprinkler, 洒水壶
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:seedStorage:0, 种子储存器
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fence:0, 栅栏
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:fenceGate:0, 栅栏门
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:grate:0, 木格栅
AgriCraft:cropPotato, 马铃薯
AgriCraft:cropCarrot, 胡萝卜
AgriCraft:cropSugarcane, 甘蔗
AgriCraft:cropDandelion, 蒲公英
AgriCraft:cropPoppy, 罂粟
AgriCraft:cropOrchid, 兰花
AgriCraft:cropAllium, 绒球葱
AgriCraft:cropTulipRed, 红郁金香
AgriCraft:cropTulipOrange, 橙郁金香
AgriCraft:cropTulipWhite, 白郁金香
AgriCraft:cropTulipPink, 粉郁金香
AgriCraft:cropDaisy, 法兰西菊
AgriCraft:cropCactus, 仙人掌
AgriCraft:cropShroomRed, 红蘑菇
AgriCraft:cropShroomBrown, 棕蘑菇
BambooMod:bamboo, 竹
BambooMod:bamboosingle, tile.bamboosingle.name
BambooMod:bamboo2, Bamboo
BambooMod:blockbambooshoot, 竹笋
BambooMod:singleTexDeco:0, 竹方块
BambooMod:kitunebi, 狐火
BambooMod:jpChest, 日式衣柜
BambooMod:dirSquare:0, 叠席
BambooMod:dirSquare:4, 茅草方块
BambooMod:dirSquare:8, 叠席(泛黄)
BambooMod:dirSquare:10, 没有边缘的叠席(泛黄)
BambooMod:dirSquare:12, 没有边缘的叠席
BambooMod:halfDirSquare:0, 叠席台阶
BambooMod:halfDirSquare:4, 茅草台阶
BambooMod:halfDirSquare:8, 叠席台阶(泛黄)
BambooMod:halfDirSquare:10, 没有边缘的叠席台阶(泛黄)
BambooMod:halfDirSquare:12, 没有边缘的叠席台阶
BambooMod:andon, 灯笼
BambooMod:bambooPanel:0, 竹篱笆
BambooMod:bambooPanel:1, 楣窗
BambooMod:bambooPanel:2, 竹篱笆
BambooMod:bambooPanel:3, 竹篱笆
BambooMod:bambooPanel:4, 门帘(蓝)
BambooMod:bambooPanel:5, 门帘(紫)
BambooMod:bambooPanel:6, 竹帘
BambooMod:sakuraLeaves:0, 樱花
BambooMod:sakuraLeaves:1, 樱花
BambooMod:sakuraLeaves:2, 樱花
BambooMod:sakuraLeaves:3, 樱花
BambooMod:sakuraLeaves:4, 樱花
BambooMod:sakuraLeaves:5, 樱花
BambooMod:sakuraLeaves:6, 樱花
BambooMod:sakuraLeaves:7, 樱花
BambooMod:sakuraLeaves:8, 樱花
BambooMod:sakuraLeaves:9, 樱花
BambooMod:sakuraLeaves:10, 樱花
BambooMod:sakuraLeaves:11, 樱花
BambooMod:sakuraLeaves:12, 樱花
BambooMod:sakuraLeaves:13, 樱花
BambooMod:sakuraLeaves:14, 樱花
BambooMod:sakuraLeaves:15, 樱花
BambooMod:sakuraSapling, 樱树苗 
BambooMod:kayabukiRoof, 茅草楼梯
BambooMod:spaWater, 温泉水
BambooMod:spaUnit, 温泉器 
BambooMod:sakuraLog, 樱木
BambooMod:delude_width, 模仿台阶
BambooMod:delude_height, 模仿台阶垂直
BambooMod:delude_stair, 模仿楼梯
BambooMod:campfire, 营火
BambooMod:deco:0, 灰泥
BambooMod:deco:1, 菱纹墙
BambooMod:deco:2, 方格花纹(橡)
BambooMod:deco:3, 方格花纹(松)
BambooMod:deco:4, 方格花纹(白桦)
BambooMod:deco:5, 瓦方块
BambooMod:halfDeco:0, 灰泥台阶
BambooMod:halfDeco:1, 菱纹墙台阶
BambooMod:halfDeco:2, 方格花纹台阶(橡)
BambooMod:halfDeco:3, 方格花纹台阶(松)
BambooMod:halfDeco:4, 方格花纹台阶(白桦)
BambooMod:halfDeco:5, 瓦台阶
BambooMod:twoDirDeco:0, 百叶窗板
BambooMod:twoDirDeco:2, 樱木板
BambooMod:twoDirDeco:4, 秸秆方块
BambooMod:halfTwoDirDeco:0, 瓦楼梯
BambooMod:halfTwoDirDeco:2, 樱木台阶
BambooMod:halfTwoDirDeco:4, 秸秆台阶
BambooMod:kawara_stair, 瓦楼梯
BambooMod:wara_stair, 秸秆楼梯
BambooMod:decoCarpet:0, 草席
BambooMod:decoCarpet:2, 茅草地毯
BambooMod:decoCarpet:4, 草席(泛黄)
BambooMod:decoCarpet:6, 没有边缘的草席(泛黄)
BambooMod:decoCarpet:8, 没有边缘的草席
BambooMod:thickSakuraPillar, 樱木支柱(粗)
BambooMod:thinSakuraPillar, 樱木支柱(细)
BambooMod:thickOrcPillar, 橡木支柱(粗)
BambooMod:thinOrcPillar, 橡木支柱(细)
BambooMod:thickSprucePillar, 松支柱(粗)
BambooMod:thinSprucePillar, 松支柱(细)
BambooMod:thickBirchPillar, 白桦支柱(粗)
BambooMod:thinBirchPillar, 白桦支柱(细)
BambooMod:delude_plate, 模仿压力板
BambooMod:ricePlant, RicePlant
BambooMod:bambooMillStone, 石磨
BambooMod:bambooMoss, 藓苔方块
BambooMod:bambooMultiPot, 小花盆
BambooMod:blobkbroom:0, 帚目(直线)
BambooMod:blobkbroom:1, 帚目(曲线)
BambooMod:bamboohuton, tile.bamboohuton.name
BambooMod:bamboomultiblock:2, 缩小范围2x
BambooMod:bamboomultiblock:3, 缩小范围3x
BambooMod:bamboomultiblock:4, 缩小范围4x
BambooMod:bamboomultiblock:5, 缩小范围5x
BambooMod:alphamultiblock:2, MiniBlock(Alpha)2x
BambooMod:alphamultiblock:3, MiniBlock(Alpha)3x
BambooMod:alphamultiblock:4, MiniBlock(Alpha)4x
BambooMod:alphamultiblock:5, MiniBlock(Alpha)5x
BambooMod:sakuracarpet:0, SakuraCarpet
BambooMod:sakuracarpet:1, SakuraCarpet
BambooMod:sakuracarpet:2, SakuraCarpet
BambooMod:decoPlaster:0, DecoPlaster(I)
BambooMod:decoCurvePlaster:0, DecoPlaster(L)
BambooMod:decoDCurvePlaster:0, DecoPlaster(D)
BambooMod:seaweed, SeaWeed
BambooMod:beanPlant, BeanPlant
BambooMod:tomatoPlant, TomatoPlant
BambooMod:villagerBlock, VillagerBlock
BambooMod:crossLamp:0, Bonfire
BambooMod:crossLamp:1, Lampstand
BambooMod:bambooLiangThick:0, 梁
BambooMod:bambooLiangVLogThick:0, 梁
BambooMod:bambooLiangVLogThick:1, 梁
BambooMod:bambooLiangVLogThick:2, 梁
BambooMod:bambooLiangVLogThick:3, 梁
BambooMod:bambooLiangVLog2Thick:0, 梁
BambooMod:bambooLiangVLog2Thick:1, 梁
minecraft:iron_shovel, 铁锹
minecraft:iron_pickaxe, 铁镐
minecraft:iron_axe, 铁斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 苹果
minecraft:bow, 弓
minecraft:arrow, 箭
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 钻石
minecraft:iron_ingot, 铁锭
minecraft:gold_ingot, 金锭
minecraft:iron_sword, 铁剑
minecraft:wooden_sword, 木剑
minecraft:wooden_shovel, 木锹
minecraft:wooden_pickaxe, 木镐
